comment,comment_language,created_at,delivery_id,encrypted_order_id,gig_category,gig_id,gig_nested_sub_category,gig_slug,gig_sub_category,helpful_count,id,is_business,is_cancelled_order,order_duration,order_duration_en,order_duration_in_days,order_price_range,order_price_range_usd,order_type,original_relevancy_score,price_range_end,price_range_start,relevancy_score,repeat_buyer,reviewer_country,reviewer_country_code,reviewer_industry,reviews_count_as_buyer,score,seller_response_comment,seller_response_comment_language,seller_response_created_at,user_image_url,username,value,work_sample,work_sample_content_type,work_sample_id,work_sample_preview_url,work_sample_small
"Thank you for your hard work on this project, your attention to detail, and your willingness to refine the work. I look forward to working with you on future projects.",en,2025-12-17T00:30:36,,FO114727C5C45,23,425098179,,do-web-scrapping-on-any-shopify-store-using-python,542,,6941f105e116ba37dd48ffb3,False,False,6 days,6 days,6,$50-$100,$50-$100,,0.5,200,100,0,False,United States,US,,53,0,,,,,ksharma222,5,,,,,
"good dev, helped me to fix a complex theme upgrade issues.",en,2025-12-13T08:07:53,,FO822139F1C02,10,431481678,2041,develop-modern-react-js-or-next-js-web-apps-with-tailwind-and-api-integration,140,,693d1398e116ba37dd48ea2a,False,False,3 days,3 days,3,Up to $50,Up to $50,,,50,,0,False,Pakistan,PK,,9,0,,,,"https://fiverr-res.cloudinary.com/image/upload/f_auto,q_auto,t_profile_small/v1/attachments/profile/photo/5df5dd07453ef234e78a895364eb8b89-1656236629893/6aefe933-0a8f-4d38-b54e-9713116c5706.jpeg",zahid119,5,,,,,
"Asked for a OCR development, and it was what I was expecting. ",en,2025-12-12T14:22:02,,FO51B392EBF83,10,431481678,2041,develop-modern-react-js-or-next-js-web-apps-with-tailwind-and-api-integration,140,,693c250a5df9d100648a1df4,True,False,10 hours,10 hours,10,$100-$200,$100-$200,HOURLY,,200,100,0,False,Portugal,PT,,3,0,,,,"https://fiverr-res.cloudinary.com/image/upload/f_auto,q_auto,t_profile_small/v1/attachments/profile/photo/db98401468ba19f383aec79357c1b63d-1764926975916/7e766688-6999-4e40-b66e-0d9d53031daf.jpg",manelpassos,5,,,,,
Delivered earlier than anticipated. Well done. ,en,2025-12-08T11:13:55,,FO3146ED35743,10,431481678,2041,develop-modern-react-js-or-next-js-web-apps-with-tailwind-and-api-integration,140,,6936aa36de734419431e1b70,False,False,2 days,2 days,2,$100-$200,$100-$200,,,400,200,0,False,Hong Kong,HK,technology,97,0,,,,"https://fiverr-res.cloudinary.com/image/upload/f_auto,q_auto,t_profile_small/v1/profile/photos/3001345/original/logobig.png",polycarpbeta,5,,,,,
Fantastic to work with. Thank you so much!! ,en,2025-11-27T09:21:31,,FO421FE15E086,10,431481678,2041,develop-modern-react-js-or-next-js-web-apps-with-tailwind-and-api-integration,140,,69280e4da616c2418b281b0d,False,False,5 days,5 days,5,$50-$100,$50-$100,,,200,100,0,False,United States,US,financial_services_or_banking,18,0,,,,"https://fiverr-res.cloudinary.com/image/upload/f_auto,q_auto,t_profile_small/v1/attachments/profile/photo/f333c8802644f6c316da5bd339204f0e-1630272855753/d8ea543b-0230-4124-b51b-d5576e35e173.jpeg",nickharris10,5,,,,,
"I highly recommend Masab to anyone looking for advanced AI systems, business automation, conversational interfaces or full-stack development. I approached him with the idea of building a complete business management system powered by multilingual AI. The goal was simple but extremely complex in execution: allow our team to manage CRM, HR, projects, tasks, timesheets and calendar events just by talking to the system in natural language in multiple languages. He delivered it!",en,2025-11-19T03:06:32,,FO528AA3114C7,10,431481678,2041,develop-modern-react-js-or-next-js-web-apps-with-tailwind-and-api-integration,140,,691d2ed750695d4c5d31e3e7,False,False,3 weeks,3 weeks,19,$400-$600,$400-$600,,0.5,600,400,0,False,Italy,IT,,1,0,,,,"https://fiverr-res.cloudinary.com/image/upload/f_auto,q_auto,t_profile_small/v1/attachments/profile/photo/e790d36de24015303aec344ef05d3b3f-1679384515936/89e0ec51-8d33-4faa-9635-4363017dbece.png",rogerlic,5,,,,,
Great to work with Masab. Masab is very professional and he really want to do a good job. Always asking for feedback. Great choice.  ,en,2025-11-13T16:55:08,,FO321D2248587,10,431481678,2041,develop-modern-react-js-or-next-js-web-apps-with-tailwind-and-api-integration,140,,69160d6c599f193eccc1324a,True,False,35 hours,35 hours,26,$400-$600,$400-$600,HOURLY,0.5,600,400,0.5,False,Portugal,PT,,3,,,,,"https://fiverr-res.cloudinary.com/image/upload/f_auto,q_auto,t_profile_small/v1/attachments/profile/photo/db98401468ba19f383aec79357c1b63d-1764926975916/7e766688-6999-4e40-b66e-0d9d53031daf.jpg",manelpassos,5,,,,,
Everything is good,en,2025-10-22T20:56:13,,FO721D195EC83,10,431481678,2041,develop-modern-react-js-or-next-js-web-apps-with-tailwind-and-api-integration,140,,68f9320136bfb77010345bdb,False,False,6 days,6 days,6,Up to $50,Up to $50,,,100,50,0,False,Canada,CA,,2,0,,,,,riansh_kamra,5,,,,,
Very great work and coordination  ,en,2025-10-05T16:31:26,,FO821C01FF682,23,425098179,,do-web-scrapping-on-any-shopify-store-using-python,542,,68e28df6f421b44bb999026b,False,False,3 days,3 days,3,Up to $50,Up to $50,,,50,,0,False,India,IN,,6,0,,,,,amanjoshi752004,5,,,,,
"He is very hardworking, polite, and professional. He consistently shows dedication to his work and maintains a positive and respectful attitude.",en,2025-10-02T15:49:48,,FO3142C1040C3,10,431481678,2041,develop-modern-react-js-or-next-js-web-apps-with-tailwind-and-api-integration,140,,68de9a305277566091be90bd,False,False,4 weeks,4 weeks,26,$50-$100,$50-$100,,0.5,100,50,0,False,Canada,CA,,2,0,,,,,riansh_kamra,5,,,,,
"He responds fast, communicates a lot, and works very hard.",en,2025-09-07T14:19:56,,FO31AE5F4B785,10,431481678,2041,develop-modern-react-js-or-next-js-web-apps-with-tailwind-and-api-integration,140,1,68bd8d65fe0fc3692004e29b,False,False,1 day,1 day,1,Up to $50,Up to $50,,,100,50,0,False,Italy,IT,technology,4,0,,,,,alessandroirace,5,,,,,
